0	1170	1644
20	1170	1613
260	1170	1644
380	1181	1651
460	1108	1190
620	1671	1672
640	1660	1662
660	803	849
680	1144	1644
700	656	682
720	1148	1644
720	1613	1672
720	656	682
720	1632	1671
740	1492	1613
740	656	682
740	1632	1671
760	1148	1644
780	656	682
780	1108	1601
780	1632	1671
780	626	698
780	1148	1644
800	1148	1644
800	1108	1601
800	656	682
800	1632	1671
820	1148	1644
820	1632	1671
840	1632	1671
860	683	692
880	610	692
880	636	643
880	683	692
880	1632	1671
880	654	694
900	683	692
900	654	694
920	1632	1671
920	654	694
940	626	698
940	1632	1671
940	654	694
960	1632	1671
960	654	694
980	654	694
1000	610	623
1000	683	692
1000	654	694
1020	683	692
1020	636	643
1020	654	694
1040	683	692
1040	654	694
1060	610	623
1060	683	692
1060	654	694
1080	610	623
1080	683	692
1080	1632	1671
1080	654	694
1100	683	692
1100	1632	1671
1100	654	694
1120	683	692
1120	1632	1671
1140	1632	1671
1160	683	692
1180	683	692
1200	683	692
1220	683	692
1220	654	694
1240	683	692
1260	683	692
1280	683	692
1300	683	692
1320	683	692
1320	1632	1671
1340	683	692
1360	683	692
1360	1632	1671
1400	683	692
1420	683	692
1440	683	692
1460	683	692
1480	683	692
1480	654	694
1500	683	692
1500	654	694
1520	683	692
1560	683	692
1580	683	692
1660	636	643
1660	1632	1671
1680	683	692
1680	636	643
1700	683	692
1720	683	692
1780	683	692
1840	683	692
1840	1644	1662
1840	654	694
1860	683	692
1860	1644	1662
1860	654	694
1880	1644	1662
1880	654	694
1900	652	661
1900	683	692
1900	654	694
1920	683	692
1940	683	692
1940	1644	1662
1940	654	694
1960	683	692
1960	654	694
1980	683	692
2000	683	692
2000	654	694
2040	1108	1601
2060	616	661
2080	616	661
2080	613	658
2080	654	694
2100	654	694
2120	658	698
2120	692	698
2120	654	694
2120	613	698
2120	610	658
2140	610	623
2140	654	694
2160	1170	1672
2160	654	694
2180	616	661
2180	654	694
2180	613	658
2180	610	658
2200	616	661
2200	613	658
2220	613	658
2240	1108	1601
2240	613	658
2240	654	694
2260	610	658
2260	654	694
2260	1108	1601
2260	626	698
2280	1170	1672
2280	636	643
2280	626	698
2300	626	698
2320	610	658
2320	626	698
2320	1108	1601
2320	654	694
2340	652	661
2340	626	698
